	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_11306	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_11307	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_11308	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA
ASV_11309	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_11310	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_11311	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_11312	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_11313	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA
ASV_11314	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_11315	Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis	NA
ASV_11316	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_11317	Bacteria	Patescibacteria	Parcubacteria	NA	NA	NA	NA
ASV_11318	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Bealeia	NA
ASV_11319	Bacteria	Acidobacteriota	Acidobacteriae	Paludibaculum	NA	NA	NA
ASV_11320	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8	NA	NA	NA
ASV_11321	Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	Candidatus Competibacter	NA
ASV_11322	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Alkanindiges	NA
ASV_11323	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_11324	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11325	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
ASV_11326	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ethanoligenenaceae	Ethanoligenens	NA
ASV_11327	Bacteria	NA	NA	NA	NA	NA	NA
ASV_11328	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA
ASV_11329	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	NA
ASV_11330	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	NA	NA	NA
ASV_11331	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_11332	Bacteria	NA	NA	NA	NA	NA	NA
