Box,Time,Addition,Role,Experiment,Methylophilaceae,Methylacidiphilaceae,Methylococcaceae,Methylomonadaceae,Methylocystaceae
2,97.11666667,None,Control,OCT_21,0.000175984,0.00393031,8.80E-05,0,0.000117323
2,99.7,None,Control,OCT_21,0.000146653,0.00175984,0,0,0.000527952
2,103.55,None,Control,OCT_21,0.000234645,0.003138382,8.80E-05,0,0.000205315
3,0,None,Control,OCT_21,0.005543497,0.015867895,0.001085235,0.000557283,0.00305039
3,23.23333333,None,Control,OCT_21,0.005426175,0.020678125,0.000997243,5.87E-05,0.008740541
3,116.85,None,Control,OCT_21,0.000703936,0.007332669,0.000293307,5.87E-05,0.001261219
3,39.23333333,None,Control,OCT_21,0.002199801,0.017070452,0.000263976,8.80E-05,0.003255705
3,61.45,None,Control,OCT_21,0.000938582,0.006335426,0.000234645,0,0.001055904
3,73.23333333,None,Control,OCT_21,0.000498621,0.002346454,0.000175984,5.87E-05,0.00217047
3,82.23333333,None,Control,OCT_21,0.000557283,0.001231888,0.000205315,5.87E-05,0.001671848
3,93.21666667,None,Control,OCT_21,0.000410629,0.002786414,0.000410629,5.87E-05,0.000469291
3,97.18333333,None,Control,OCT_21,0.000615944,0.006276764,0.000263976,0,0.000527952
3,99.76666667,None,Control,OCT_21,0.00043996,0.005308852,0.000175984,0,0.000586613
3,102.9,None,Control,OCT_21,0.000410629,0.005719481,0.000263976,5.87E-05,0.001525195
2,0,Spirullina,Complex Carbon,NOV_21,0.004106294,0.015603919,0.001055904,0.000175984,0.011204317
2,4.566666667,Spirullina,Complex Carbon,NOV_21,0.003783657,0.018800962,0.000791928,0.000146653,0.003431689
2,8.6,Spirullina,Complex Carbon,NOV_21,0.001906494,0.009708453,0.000586613,5.87E-05,0.006452748
2,18.1,Spirullina,Complex Carbon,NOV_21,0.001085235,0.003255705,0.000293307,5.87E-05,0.002933067
2,21.25,Spirullina,Complex Carbon,NOV_21,0.000469291,0.00346102,0.000146653,2.93E-05,0.002757083
2,24.56666667,Spirullina,Complex Carbon,NOV_21,0.000527952,0.00695137,0.000117323,2.93E-05,0.001349211
2,27.55,Spirullina,Complex Carbon,NOV_21,0.000234645,0.003226374,5.87E-05,0,0.000498621
2,29.88333333,Spirullina,Complex Carbon,NOV_21,0.000146653,0.001202558,8.80E-05,0,0.000381299
3,0,Spirullina,Complex Carbon,NOV_21,0.003255705,0.011262979,0.000469291,0.000234645,0.010119083
3,4.45,Spirullina,Complex Carbon,NOV_21,0.003754326,0.01566258,0.000703936,0.000146653,0.002581099
3,8.1,Spirullina,Complex Carbon,NOV_21,0.001701179,0.013198803,0.000351968,8.80E-05,0.001554526
3,17.6,Spirullina,Complex Carbon,NOV_21,0.000234645,0.003519681,0.000410629,0,0.006335426
3,21.1,Spirullina,Complex Carbon,NOV_21,0.000293307,0.003226374,0.000293307,0,0.005162199
3,24.4,Spirullina,Complex Carbon,NOV_21,0.000205315,0.004692908,0.000205315,0,0.002991729
3,25.45,Spirullina,Complex Carbon,NOV_21,0.000293307,0.001202558,0,0,0.000469291
3,29.56666667,Spirullina,Complex Carbon,NOV_21,0.000234645,0.000791928,5.87E-05,2.93E-05,0.000762598
