Box,Time,Addition,Role,Experiment,Methylophilaceae,Methylacidiphilaceae,Methylococcaceae,Methylomonadaceae,Methylocystaceae
2,8.6,Spirullina,Complex Carbon,NOV_21,0.001715745,0.010959421,0.000533605,4.93E-05,0.006616699
2,18.1,Spirullina,Complex Carbon,NOV_21,0.000822514,0.003628285,0.00026136,7.69E-05,0.003213185
2,21.25,Spirullina,Complex Carbon,NOV_21,0.000388912,0.002978899,0.000206868,5.79E-05,0.002267273
2,24.56666667,Spirullina,Complex Carbon,NOV_21,0.000511519,0.006820259,0.000197788,6.82E-05,0.001111702
2,27.55,Spirullina,Complex Carbon,NOV_21,0.000279945,0.002911432,0.00015397,2.80E-05,0.000559891
2,29.88333333,Spirullina,Complex Carbon,NOV_21,0.000157538,0.001299686,8.86E-05,3.94E-05,0.00035446
3,0,Spirullina,Complex Carbon,NOV_21,0.003467293,0.010414442,0.000716071,0.00018844,0.009572744
3,4.45,Spirullina,Complex Carbon,NOV_21,0.003665253,0.016268912,0.000519086,0.000215231,0.002576439
3,8.1,Spirullina,Complex Carbon,NOV_21,0.001976456,0.0139217,0.000432558,5.99E-05,0.00174354
3,17.6,Spirullina,Complex Carbon,NOV_21,0.000289424,0.003235122,0.000340878,3.86E-05,0.006206546
3,21.1,Spirullina,Complex Carbon,NOV_21,0.000242683,0.002815124,0.00024875,1.82E-05,0.004689851
3,24.4,Spirullina,Complex Carbon,NOV_21,0.00020641,0.00524186,0.000187209,4.32E-05,0.003244961
3,25.45,Spirullina,Complex Carbon,NOV_21,0.000247553,0.001158761,0,3.69E-05,0.000605716
3,29.56666667,Spirullina,Complex Carbon,NOV_21,0.000139837,0.00096767,5.03E-05,3.92E-05,0.000872581
